Task,Experience,Phase,Stream,Metric,SubID,Value
000,0,train,train,MaxRAMUsage_MB,,0
000,0,train,train,DiskUsage_MB,,76501.2119140625
000,0,train,train,MAC_MB,,374464
000,0,train,train,MaxRAMUsage_Epoch,,638.890625
000,0,train,train,DiskUsage_Epoch,,76501.2119140625
000,0,train,train,MAC_Epoch,,374464
000,0,eval,test,Top1_Acc_Exp,000,0.9995271867612293
000,0,eval,test,MaxRAMUsage_Experience,000,0
000,0,eval,test,DiskUsage_Exp,000,76501.2236328125
000,0,eval,test,MAC_Exp,000,374464
000,0,eval,test,Top1_Acc_Exp,001,0.0
000,0,eval,test,MaxRAMUsage_Experience,001,0
000,0,eval,test,DiskUsage_Exp,001,76501.23828125
000,0,eval,test,MAC_Exp,001,374464
000,0,eval,test,Top1_Acc_Exp,002,0.0
000,0,eval,test,MaxRAMUsage_Experience,002,0
000,0,eval,test,DiskUsage_Exp,002,76501.2529296875
000,0,eval,test,MAC_Exp,002,374464
000,0,eval,test,Top1_Acc_Exp,003,0.0
000,0,eval,test,MaxRAMUsage_Experience,003,646.5
000,0,eval,test,DiskUsage_Exp,003,76501.267578125
000,0,eval,test,MAC_Exp,003,374464
000,0,eval,test,Top1_Acc_Exp,004,0.0
000,0,eval,test,MaxRAMUsage_Experience,004,0
000,0,eval,test,DiskUsage_Exp,004,76501.2822265625
000,0,eval,test,MAC_Exp,004,374464
000,0,eval,test,Top1_Acc_Stream,,0.2114
,0,eval,test,StreamForgetting,,0.0
,0,eval,test,StreamBWT,,0.0
000,0,eval,test,MaxRAMUsage_Stream,,646.5
000,0,eval,test,DiskUsage_Stream,,76501.2822265625
000,1,train,train,MaxRAMUsage_MB,,0
000,1,train,train,DiskUsage_MB,,76501.296875
000,1,train,train,MAC_MB,,374464
000,1,train,train,MaxRAMUsage_Epoch,,585.046875
000,1,train,train,DiskUsage_Epoch,,76501.296875
000,1,train,train,MAC_Epoch,,374464
000,1,eval,test,Top1_Acc_Exp,000,0.9914893617021276
000,1,eval,test,MaxRAMUsage_Experience,000,0
000,1,eval,test,DiskUsage_Exp,000,76501.30859375
000,1,eval,test,MAC_Exp,000,374464
000,1,eval,test,Top1_Acc_Exp,001,0.982089552238806
000,1,eval,test,MaxRAMUsage_Experience,001,0
000,1,eval,test,DiskUsage_Exp,001,76501.328125
000,1,eval,test,MAC_Exp,001,374464
000,1,eval,test,Top1_Acc_Exp,002,0.0
000,1,eval,test,MaxRAMUsage_Experience,002,0
000,1,eval,test,DiskUsage_Exp,002,76501.3427734375
000,1,eval,test,MAC_Exp,002,374464
000,1,eval,test,Top1_Acc_Exp,003,0.0
000,1,eval,test,MaxRAMUsage_Experience,003,405.484375
000,1,eval,test,DiskUsage_Exp,003,76501.357421875
000,1,eval,test,MAC_Exp,003,374464
000,1,eval,test,Top1_Acc_Exp,004,0.0
000,1,eval,test,MaxRAMUsage_Experience,004,0
000,1,eval,test,DiskUsage_Exp,004,76501.3720703125
000,1,eval,test,MAC_Exp,004,374464
000,1,eval,test,Top1_Acc_Stream,,0.4071
,1,eval,test,StreamForgetting,,0.008037825059101666
,1,eval,test,StreamBWT,,-0.008037825059101666
000,1,eval,test,MaxRAMUsage_Stream,,405.484375
000,1,eval,test,DiskUsage_Stream,,76501.3720703125
000,1,eval,test,ExperienceForgetting,000,0.008037825059101666
000,1,eval,test,ExperienceBWT,000,-0.008037825059101666
000,2,train,train,MaxRAMUsage_MB,,0
000,2,train,train,DiskUsage_MB,,76501.38671875
000,2,train,train,MAC_MB,,374464
000,2,train,train,MaxRAMUsage_Epoch,,408.359375
000,2,train,train,DiskUsage_Epoch,,76501.38671875
000,2,train,train,MAC_Epoch,,374464
000,2,eval,test,Top1_Acc_Exp,000,0.9739952718676123
000,2,eval,test,MaxRAMUsage_Experience,000,0
000,2,eval,test,DiskUsage_Exp,000,76501.3984375
000,2,eval,test,MAC_Exp,000,374464
000,2,eval,test,Top1_Acc_Exp,001,0.9432835820895522
000,2,eval,test,MaxRAMUsage_Experience,001,0
000,2,eval,test,DiskUsage_Exp,001,76501.41796875
000,2,eval,test,MAC_Exp,001,374464
000,2,eval,test,Top1_Acc_Exp,002,0.9475806451612904
000,2,eval,test,MaxRAMUsage_Experience,002,0
000,2,eval,test,DiskUsage_Exp,002,76501.4375
000,2,eval,test,MAC_Exp,002,374464
000,2,eval,test,Top1_Acc_Exp,003,0.0
000,2,eval,test,MaxRAMUsage_Experience,003,384.734375
000,2,eval,test,DiskUsage_Exp,003,76501.4521484375
000,2,eval,test,MAC_Exp,003,374464
000,2,eval,test,Top1_Acc_Exp,004,0.0
000,2,eval,test,MaxRAMUsage_Experience,004,0
000,2,eval,test,DiskUsage_Exp,004,76501.466796875
000,2,eval,test,MAC_Exp,004,374464
000,2,eval,test,Top1_Acc_Stream,,0.5836
,2,eval,test,StreamForgetting,,0.03216894252143543
,2,eval,test,StreamBWT,,-0.03216894252143543
000,2,eval,test,MaxRAMUsage_Stream,,388.515625
000,2,eval,test,DiskUsage_Stream,,76501.466796875
000,2,eval,test,ExperienceForgetting,000,0.025531914893617058
000,2,eval,test,ExperienceBWT,000,-0.025531914893617058
000,2,eval,test,ExperienceForgetting,001,0.0388059701492538
000,2,eval,test,ExperienceBWT,001,-0.0388059701492538
000,3,train,train,MaxRAMUsage_MB,,0
000,3,train,train,DiskUsage_MB,,76501.4814453125
000,3,train,train,MAC_MB,,374464
000,3,train,train,MaxRAMUsage_Epoch,,602.046875
000,3,train,train,DiskUsage_Epoch,,76501.4814453125
000,3,train,train,MAC_Epoch,,374464
000,3,eval,test,Top1_Acc_Exp,000,0.9626477541371158
000,3,eval,test,MaxRAMUsage_Experience,000,0
000,3,eval,test,DiskUsage_Exp,000,76501.4931640625
000,3,eval,test,MAC_Exp,000,374464
000,3,eval,test,Top1_Acc_Exp,001,0.909452736318408
000,3,eval,test,MaxRAMUsage_Experience,001,0
000,3,eval,test,DiskUsage_Exp,001,76501.5126953125
000,3,eval,test,MAC_Exp,001,374464
000,3,eval,test,Top1_Acc_Exp,002,0.8623991935483871
000,3,eval,test,MaxRAMUsage_Experience,002,0
000,3,eval,test,DiskUsage_Exp,002,76501.5322265625
000,3,eval,test,MAC_Exp,002,374464
000,3,eval,test,Top1_Acc_Exp,003,0.9911642411642412
000,3,eval,test,MaxRAMUsage_Experience,003,619.890625
000,3,eval,test,DiskUsage_Exp,003,76501.5517578125
000,3,eval,test,MAC_Exp,003,374464
000,3,eval,test,Top1_Acc_Exp,004,0.0
000,3,eval,test,MaxRAMUsage_Experience,004,0
000,3,eval,test,DiskUsage_Exp,004,76501.56640625
000,3,eval,test,MAC_Exp,004,374464
000,3,eval,test,Top1_Acc_Stream,,0.7482
,3,eval,test,StreamForgetting,,0.06489923338580494
,3,eval,test,StreamBWT,,-0.06489923338580494
000,3,eval,test,MaxRAMUsage_Stream,,619.890625
000,3,eval,test,DiskUsage_Stream,,76501.56640625
000,3,eval,test,ExperienceForgetting,000,0.03687943262411353
000,3,eval,test,ExperienceBWT,000,-0.03687943262411353
000,3,eval,test,ExperienceForgetting,001,0.07263681592039806
000,3,eval,test,ExperienceBWT,001,-0.07263681592039806
000,3,eval,test,ExperienceForgetting,002,0.08518145161290325
000,3,eval,test,ExperienceBWT,002,-0.08518145161290325
000,4,train,train,MaxRAMUsage_MB,,0
000,4,train,train,DiskUsage_MB,,76501.5810546875
000,4,train,train,MAC_MB,,374464
000,4,train,train,MaxRAMUsage_Epoch,,623.984375
000,4,train,train,DiskUsage_Epoch,,76501.5810546875
000,4,train,train,MAC_Epoch,,374464
000,4,eval,test,Top1_Acc_Exp,000,0.933806146572104
000,4,eval,test,MaxRAMUsage_Experience,000,0
000,4,eval,test,DiskUsage_Exp,000,76501.5927734375
000,4,eval,test,MAC_Exp,000,374464
000,4,eval,test,Top1_Acc_Exp,001,0.836318407960199
000,4,eval,test,MaxRAMUsage_Experience,001,0
000,4,eval,test,DiskUsage_Exp,001,76501.6123046875
000,4,eval,test,MAC_Exp,001,374464
000,4,eval,test,Top1_Acc_Exp,002,0.8613911290322581
000,4,eval,test,MaxRAMUsage_Experience,002,353.765625
000,4,eval,test,DiskUsage_Exp,002,76501.6318359375
000,4,eval,test,MAC_Exp,002,374464
000,4,eval,test,Top1_Acc_Exp,003,0.9038461538461539
000,4,eval,test,MaxRAMUsage_Experience,003,0
000,4,eval,test,DiskUsage_Exp,003,76501.6513671875
000,4,eval,test,MAC_Exp,003,374464
000,4,eval,test,Top1_Acc_Exp,004,0.9903406202338587
000,4,eval,test,MaxRAMUsage_Experience,004,0
000,4,eval,test,DiskUsage_Exp,004,76501.6708984375
000,4,eval,test,MAC_Exp,004,374464
000,4,eval,test,Top1_Acc_Stream,,0.9052
,4,eval,test,StreamForgetting,,0.09624994697871297
,4,eval,test,StreamBWT,,-0.09624994697871297
000,4,eval,test,MaxRAMUsage_Stream,,353.765625
000,4,eval,test,DiskUsage_Stream,,76501.6708984375
000,4,eval,test,ExperienceForgetting,000,0.06572104018912528
000,4,eval,test,ExperienceBWT,000,-0.06572104018912528
000,4,eval,test,ExperienceForgetting,001,0.14577114427860705
000,4,eval,test,ExperienceBWT,001,-0.14577114427860705
000,4,eval,test,ExperienceForgetting,002,0.08618951612903225
000,4,eval,test,ExperienceBWT,002,-0.08618951612903225
000,4,eval,test,ExperienceForgetting,003,0.08731808731808732
000,4,eval,test,ExperienceBWT,003,-0.08731808731808732
